Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Hcost
BUSINESS BAY,Unit,Flat,603200,44.57,44.57,Studio,0.12
DUBAI MARINA,Unit,Flat,1227471,116.91,116.91,2 B/R,0.36
MEYDAN AVENUE,Unit,Flat,810400,75.61,75.61,1 B/R,0.53
EMIRATE LIVING,Building,Villa,2793000,256.91,256.91,3 B/R,0.18
DUBAI SOUTH,Unit,Stacked Townhouses,971200,170.2,170.2,2 B/R,0.45
Zaabeel Second,Unit,Flat,2208160,111.43,111.43,2 B/R,0.13
SUFOUH GARDENS,Unit,Flat,525000,76.95,76.95,1 B/R,0.44
EMIRATE LIVING,Building,Villa,2400000,255,255,3 B/R,0.51
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,525000,45.33,45.33,Studio,0.13
BUSINESS BAY,Unit,Flat,994287,80.05,80.05,1 B/R,0.48
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1050744,176.2,176.2,3 B/R,0.49
DUBAI MARINA,Unit,Flat,4155200,365.85,365.85,3 B/R,0.04
TILAL AL GHAF,Building,Villa,3180000,246.93,246.93,4 B/R,0.14
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1441600,143.02,143.02,2 B/R,0.09
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,805600,67.65,67.65,1 B/R,0.53
ARJAN,Unit,Flat,584000,72.12,72.12,1 B/R,0.58
DUBAI MARINA,Unit,Flat,3137600,154.59,154.59,2 B/R,0.01
DUBAI MARINA,Unit,Flat,1780000,104.05,104.05,2 B/R,0.05
MOTOR CITY,Unit,Flat,1301760,186.36,186.36,2 B/R,0.55
DUBAI HILLS,Unit,Flat,906975,68.81,68.81,2 B/R,0.42
JUMEIRA BAY,Unit,Flat,7120000,150.4,150.4,1 B/R,0.05
GRAND VIEWS,Building,Villa,3782500,218.02,218.02,4 B/R,0
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,630880,92.93,92.93,1 B/R,0.44
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,996400,109.81,109.81,2 B/R,0.43
DISCOVERY GARDENS,Unit,Flat,320000,43,43,Studio,0.04
DUBAI MARINA,Unit,Flat,1593750,134.06,134.06,2 B/R,0.4
THE GREENS,Unit,Flat,1950400,152.36,152.36,2 B/R,0.26
ARABIAN RANCHES I,Building,Villa,2287500,355.86,355.86,3 B/R,0.04
EMIRATE LIVING,Building,Villa,1996560,187.75,187.75,2 B/R,0.53
BUSINESS BAY,Unit,Flat,783520,43.54,43.54,1 B/R,0.24
BURJ KHALIFA,Unit,Flat,1183765,147.52,147.52,3 B/R,0.29
Mirdif,Unit,Flat,700000,114.2,114.2,1 B/R,0.23
RUKAN,Building,Villa,1780800,261.36,261.36,3 B/R,0.17
MEYDAN AVENUE,Unit,Flat,1872320,142.52,142.52,2 B/R,0.36
SERENA,Building,Villa,1785000,172.5,172.5,3 B/R,0.41
PALM JUMEIRAH,Unit,Flat,4200000,158.8,158.8,3 B/R,0.09
ARJAN,Unit,Flat,639360,110.97,110.97,2 B/R,0.55
VILLANOVA,Building,Villa,2289600,308.36,308.36,4 B/R,0.02
BUSINESS BAY,Unit,Flat,440000,37.2,37.2,Studio,0.03
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,382500,67.08,67.08,1 B/R,0.27
AL FURJAN,Building,Villa,2917600,221.2,221.2,4 B/R,0.11
THE GREENS,Unit,Flat,1760000,121.24,121.24,2 B/R,0.08
CITY WALK,Unit,Flat,2149680,114.03,114.03,1 B/R,0.54
SERENA,Building,Villa,1760000,186.3,186.3,3 B/R,0.42
Wadi Al Safa 3,Unit,Flat,488232,78.99,78.99,1 B/R,0.59
DUBAI CREEK HARBOUR,Unit,Flat,550000,66.91,66.91,1 B/R,0.58
JUMEIRAH LAKES TOWERS,Unit,Flat,748800,70.99,70.99,1 B/R,0.11
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,977040,70.47,70.47,1 B/R,0.15
JUMEIRAH GOLF,Unit,Flat,1363423,134.1,134.1,2 B/R,0.38
DUBAI HILLS,Unit,Flat,519013,91.83,91.83,2 B/R,0.15
MIRA,Building,Villa,1202757,324.01,324.01,4 B/R,0.46
DUBAI HILLS,Unit,Flat,1445000,96.55,96.55,1 B/R,0.21
Wadi Al Safa 5,Building,Villa,2522800,253.47,253.47,4 B/R,0.02
DUBAI SCIENCE PARK,Unit,Flat,1043360,135.7,135.7,2 B/R,0.34
DUBAI MARINA,Unit,Flat,1100000,165.28,165.28,2 B/R,0.25
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1615000,135.2,135.2,3 B/R,0.05
DUBAI SPORTS CITY,Unit,Flat,529120,95.94,95.94,1 B/R,0.01
TOWN SQUARE,Unit,Flat,375000,104.97,104.97,2 B/R,0.44
EMIRATE LIVING,Building,Villa,1240000,405.71,405.71,3 B/R,0.17
EMAAR SOUTH,Building,Villa,1249500,137.76,137.76,3 B/R,0.08
DUBAI MARINA,Unit,Flat,2680000,181.99,181.99,3 B/R,0.07
BUSINESS BAY,Unit,Flat,776000,40.86,40.86,Studio,0.4
Muhaisanah First,Unit,Flat,1980000,189.09,189.09,3 B/R,0.23
DUBAI HILLS,Unit,Flat,880000,45.16,45.16,1 B/R,0.27
SERENA,Building,Villa,1929200,186.98,186.98,3 B/R,0.14
BUSINESS BAY,Unit,Flat,600000,80.76,80.76,1 B/R,0.6
DUBAI MARINA,Unit,Flat,2803680,189.24,189.24,3 B/R,0.03
EMAAR SOUTH,Unit,Flat,1175846.4,207.36,207.36,3 B/R,0.35
TILAL AL GHAF,Building,Villa,2830000,201.92,201.92,4 B/R,0
EMAAR SOUTH,Building,Villa,1320938,139.07,139.07,3 B/R,0.12
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1300000,241.3,241.3,3 B/R,0.51
JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1261459,155.89,155.89,2 B/R,0.09
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1000000,178.52,178.52,3 B/R,0.27
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,661440,69.08,69.08,1 B/R,0.27
INTERNATIONAL CITY PH 1,Unit,Flat,1125000,219.51,219.51,3 B/R,0.19
MEYDAN AVENUE,Unit,Flat,1639575,142.58,142.58,2 B/R,0.14
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,483684.96,73.37,73.37,1 B/R,0.42
EMIRATE LIVING,Building,Villa,1730000,382.02,382.02,3 B/R,0.39
AL FURJAN,Unit,Flat,769800,116.77,116.77,2 B/R,0.02
JUMEIRAH LAKES TOWERS,Unit,Flat,600000,74.9,74.9,1 B/R,0.04
RUKAN,Building,Villa,900000,128.53,128.53,2 B/R,0.3
MOTOR CITY,Unit,Flat,584000,86.12,86.12,1 B/R,0.25
JUMEIRAH LAKES TOWERS,Unit,Flat,585000,126.43,126.43,2 B/R,0.09
BURJ KHALIFA,Unit,Flat,1626300,140.19,140.19,2 B/R,0.19
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,675000,75.78,75.78,1 B/R,0.59
DUBAI HILLS,Building,Villa,3920000,375.98,375.98,5 B/R,0.17
ARABIAN RANCHES III,Building,Villa,1915727,129.64,129.64,3 B/R,0.55
DUBAI MARINA,Unit,Flat,2460000,226.4,226.4,3 B/R,0.55
MIRA,Building,Villa,1873242,224.52,224.52,3 B/R,0.44
Al Kheeran,Unit,Flat,1183423,152.85,152.85,2 B/R,0.05
ARABIAN RANCHES III,Building,Villa,2708480,223.54,223.54,4 B/R,0.02
DUBAI PRODUCTION CITY,Unit,Flat,384052,107.03,107.03,2 B/R,0.45
SOBHA HEARTLAND,Unit,Flat,1160000,111.9,111.9,2 B/R,0.23
TILAL AL GHAF,Building,Villa,1752465,140.42,140.42,3 B/R,0.19
DUBAI PRODUCTION CITY,Unit,Flat,480000,123.66,123.66,1 B/R,0.19
DUBAI MARINA,Unit,Flat,1464000,103.4,103.4,1 B/R,0.52
DUBAI PRODUCTION CITY,Unit,Flat,1062500,109.76,109.76,2 B/R,0.55
DUBAI PRODUCTION CITY,Unit,Flat,1097124,134.97,134.97,2 B/R,0.07
ARABIAN RANCHES I,Building,Villa,1679900.82,353.52,353.52,3 B/R,0.02
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1810000,156.4,156.4,3 B/R,0.15
THE GREENS,Unit,Flat,476000,121.97,121.97,2 B/R,0.27
EMIRATE LIVING,Building,Villa,2105000,321,321,3 B/R,0.32
BUSINESS BAY,Unit,Flat,1051875,87.85,87.85,1 B/R,0.53
JUMEIRAH LAKES TOWERS,Unit,Flat,910000,140.5,140.5,2 B/R,0.18
DUBAI HARBOUR,Unit,Flat,651954,80.96,80.96,1 B/R,0.36
DUBAI MARINA,Unit,Flat,2745600,296.73,296.73,2 B/R,0.02
DUBAI PRODUCTION CITY,Unit,Flat,407040,66.83,66.83,1 B/R,0.42
Al Yelayiss 2,Building,Villa,950444,187.92,187.92,3 B/R,0.46
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,722160,156.79,156.79,2 B/R,0.35
RUKAN,Building,Villa,1682000,176,176,3 B/R,0.4
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,719780,96.76,96.76,2 B/R,0.02
PALM JUMEIRAH,Unit,Flat,3720000,150.62,150.62,2 B/R,0.16
RUKAN,Building,Villa,506061,123.71,123.71,2 B/R,0.43
DUBAI PRODUCTION CITY,Unit,Flat,503952,61.84,61.84,1 B/R,0.45
BURJ KHALIFA,Unit,Flat,3200000,172.16,172.16,2 B/R,0
TOWN SQUARE,Unit,Flat,1088800,130.99,130.99,3 B/R,0.25
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1512120,216.71,216.71,3 B/R,0.55
SILICON OASIS,Unit,Flat,572400,113.31,113.31,2 B/R,0.32
JADDAF WATERFRONT,Unit,Flat,1084200,93.07,93.07,1 B/R,0.03
JUMEIRAH VILLAGE CIRCLE,Building,Villa,260000,188.45,188.45,4 B/R,0.22
PALM JUMEIRAH,Unit,Flat,2798400,165.19,165.19,2 B/R,0.04
SERENA,Building,Villa,2080000,259.9,259.9,3 B/R,0.14
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,654420,70.92,70.92,1 B/R,0.3
DISCOVERY GARDENS,Unit,Flat,500320,82,82,1 B/R,0.35
MEYDAN ONE,Unit,Flat,890400,75.51,75.51,1 B/R,0.05
BURJ KHALIFA,Unit,Flat,2700000,226.13,226.13,2 B/R,0.07
AL FURJAN,Unit,Flat,350000,83.35,83.35,1 B/R,0.29
THE GREENS,Unit,Flat,1738400,113.71,113.71,2 B/R,0.02
EMAAR SOUTH,Building,Villa,1350000,329.62,329.62,4 B/R,0.45
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,713403,144.26,144.26,2 B/R,0.02
DUBAI PRODUCTION CITY,Unit,Flat,806102,102.04,102.04,2 B/R,0.2
VILLANOVA,Building,Villa,2463840,349.78,349.78,4 B/R,0.41
BURJ KHALIFA,Unit,Flat,1700000,76.84,76.84,1 B/R,0.28
REMRAAM,Unit,Flat,440960,48.53,48.53,1 B/R,0.42
DAMAC HILLS,Unit,Flat,1210680,127.15,127.15,2 B/R,0.36
EMIRATE LIVING,Building,Villa,2667520,526.07,526.07,3 B/R,0.15
DUBAI HILLS,Unit,Flat,896088,44.23,44.23,1 B/R,0.23
BURJ KHALIFA,Unit,Flat,1800000,144.93,144.93,2 B/R,0.08
PALM JUMEIRAH,Unit,Flat,3677440,267.81,267.81,2 B/R,0.08
MIRA,Building,Villa,2805000,376.26,376.26,3 B/R,0.04
DUBAI SPORTS CITY,Unit,Flat,896088,124.74,124.74,2 B/R,0.06
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,977040,72.89,72.89,1 B/R,0.18
BUSINESS BAY,Unit,Flat,1820000,204.11,204.11,3 B/R,0.14
EMIRATE LIVING,Building,Villa,2941500,325.37,325.37,3 B/R,0.14
TOWN SQUARE,Unit,Flat,1193483,126.53,126.53,3 B/R,0.52
SOBHA HEARTLAND,Unit,Flat,1081200,80.2,80.2,1 B/R,0.51
DUBAI MARINA,Unit,Flat,486000,63.45,63.45,1 B/R,0.22
THE GREENS,Unit,Flat,1102400,69.86,69.86,1 B/R,0.12
DUBAI HILLS,Unit,Flat,780000,60.25,60.25,1 B/R,0.46
EMIRATE LIVING,Building,Villa,1407978,381.34,381.34,3 B/R,0.53
DUBAI HILLS,Building,Villa,1900000,284.36,284.36,4 B/R,0.56
BUSINESS BAY,Unit,Flat,975200,78.24,78.24,1 B/R,0.55
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,426918,68.14,68.14,1 B/R,0.12
DUBAI MARINA,Unit,Flat,1390000,112.1,112.1,2 B/R,0.58
BURJ KHALIFA,Unit,Flat,2352000,123.65,123.65,2 B/R,0.52
AL FURJAN,Building,Villa,2805000,222.6,222.6,4 B/R,0.11
JUMEIRAH LAKES TOWERS,Unit,Flat,750480,82.5,82.5,1 B/R,0.1
DAMAC HILLS,Unit,Flat,1345000,224.16,224.16,3 B/R,0.26
LIVING LEGENDS,Unit,Flat,849600,145.25,145.25,2 B/R,0.49
DUBAI MARINA,Unit,Flat,1301786,59.42,59.42,1 B/R,0.34
DUBAI HILLS,Unit,Flat,3392000,181.09,181.09,3 B/R,0.17
AL FURJAN,Building,Villa,2640000,225.4,225.4,4 B/R,0.1
TOWN SQUARE,Unit,Flat,1424640,259.52,259.52,3 B/R,0.26
BUSINESS BAY,Unit,Flat,812607,80.76,80.76,1 B/R,0.44
ARABIAN RANCHES III,Building,Villa,1700000,134.88,134.88,3 B/R,0.4
RUKAN,Building,Villa,434750,123.87,123.87,2 B/R,0.17
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1559750,162.11,162.11,3 B/R,0.59
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,704184,118.55,118.55,2 B/R,0.18
DUBAI MARINA,Unit,Flat,1737000,128.49,128.49,2 B/R,0.3
ARABIAN RANCHES III,Building,Villa,1495000,141.7,141.7,3 B/R,0.53
REMRAAM,Unit,Flat,750000,139.07,139.07,3 B/R,0.47
BURJ KHALIFA,Unit,Flat,5250000,156.13,156.13,3 B/R,0.07
ARJAN,Unit,Flat,926512,187.16,187.16,3 B/R,0.35
Al Yelayiss 2,Building,Villa,1760000,187.92,187.92,3 B/R,0.21
DUBAI HILLS,Building,Villa,3317731,201.69,201.69,4 B/R,0.11
RUKAN,Building,Villa,1699992,176,176,3 B/R,0.45
Zaabeel First,Unit,Flat,4230000,187.22,187.22,2 B/R,0.15
Zaabeel First,Unit,Flat,4230000,187.22,187.22,2 B/R,0.17
DUBAI HILLS,Building,Villa,2345000,303.39,303.39,5 B/R,0.13
BUSINESS BAY,Unit,Flat,756500,43.82,43.82,1 B/R,0.37
DUBAI HILLS,Unit,Flat,901591,67.08,67.08,2 B/R,0.46
DUBAI STUDIO CITY,Unit,Flat,756000,111.44,111.44,2 B/R,0.37
DUBAI PRODUCTION CITY,Unit,Flat,677520,130.25,130.25,2 B/R,0.5
Al Yelayiss 2,Building,Villa,844444,187.92,187.92,3 B/R,0.58
MBR DISTRICT 1,Unit,Flat,631699.05,73.25,73.25,1 B/R,0.21
DUBAI MARINA,Unit,Flat,1970000,265.43,265.43,3 B/R,0.16
MBR DISTRICT 1,Unit,Flat,632136.9,73.25,73.25,1 B/R,0.52
JUMEIRAH BEACH RESIDENCE,Unit,Flat,1996800,170.77,170.77,3 B/R,0.56
INTERNATIONAL CITY PH 1,Unit,Flat,550000,86.47,86.47,2 B/R,0.1
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2700000,314.33,314.33,4 B/R,0.14
THE GREENS,Unit,Flat,743402.77,71.72,71.72,1 B/R,0.31
DUBAI MARINA,Unit,Flat,461000,64.28,64.28,1 B/R,0.07
MBR DISTRICT 1,Unit,Flat,1118303.55,128.88,128.88,2 B/R,0.56
MBR DISTRICT 1,Unit,Flat,631699.85,73.25,73.25,1 B/R,0.38
DUBAI MARINA,Unit,Flat,1320938,75.2,75.2,1 B/R,0.49
VILLANOVA,Building,Villa,2120000,235.06,235.06,4 B/R,0.5
DUBAI MARINA,Unit,Flat,722500,33.16,33.16,Studio,0.11
RUKAN,Building,Villa,442000,103.94,103.94,1 B/R,0.58
JUMEIRAH LAKES TOWERS,Unit,Flat,1098160,114.88,114.88,2 B/R,0.5
RUKAN,Building,Villa,800000,123.82,123.82,2 B/R,0.51
GRAND VIEWS,Building,Villa,3566953,218.03,218.03,4 B/R,0.15
RUKAN,Building,Villa,1122000,123.75,123.75,2 B/R,0.6
DISCOVERY GARDENS,Unit,Flat,508800,91,91,1 B/R,0.41
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2000000,165.53,165.53,3 B/R,0.6
AL FURJAN,Unit,Flat,1401840,130.89,130.89,2 B/R,0.07
DUBAI MARINA,Unit,Flat,750000,77.13,77.13,1 B/R,0.13
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,278880,59.53,59.53,Studio,0.12
EMAAR SOUTH,Building,Villa,1356800,144.36,144.36,3 B/R,0.58
JUMEIRAH VILLAGE CIRCLE,Building,Villa,2777200,330.11,330.11,4 B/R,0.05
DUBAI CREEK HARBOUR,Unit,Flat,1224000,105.09,105.09,2 B/R,0.25
SOBHA HEARTLAND,Unit,Flat,997000,114.93,114.93,2 B/R,0.31
DUBAI MARINA,Unit,Flat,1760000,123.5,123.5,2 B/R,0.09
DUBAI LAND RESIDENCE COMPLEX,Unit,Flat,732160,118.56,118.56,2 B/R,0.44
TOWN SQUARE,Building,Villa,1530000,185.35,185.35,3 B/R,0.19
DUBAI SCIENCE PARK,Unit,Flat,984000,135.39,135.39,2 B/R,0.29
JUMEIRAH BEACH RESIDENCE,Unit,Flat,936000,66.33,66.33,Studio,0.15
DUBAI MARINA,Unit,Flat,1222964,137.5,137.5,2 B/R,0.49
EMIRATE LIVING,Building,Villa,1300000,258.16,258.16,4 B/R,0.51
DUBAI HILLS,Unit,Flat,1254052,69.11,69.11,2 B/R,0.28
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1440000,111.54,111.54,3 B/R,0.11
RUKAN,Building,Villa,1040000,123.75,123.75,2 B/R,0.42
DUBAI MARINA,Unit,Flat,1600000,276.82,276.82,3 B/R,0.47
TOWN SQUARE,Building,Villa,1040000,208.92,208.92,3 B/R,0.45
DUBAI PRODUCTION CITY,Unit,Flat,420000,129.23,129.23,2 B/R,0.36
DUBAI PRODUCTION CITY,Unit,Flat,187500,46.36,46.36,Studio,0.2
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,449137,69.61,69.61,1 B/R,0.06
Al Yelayiss 2,Building,Villa,960444,187.92,187.92,3 B/R,0.43
SOBHA HEARTLAND,Unit,Flat,875500,46.56,46.56,1 B/R,0.43
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1280000,114.53,114.53,2 B/R,0.56
ARJAN,Unit,Flat,824500,94.78,94.78,1 B/R,0.17
MOTOR CITY,Unit,Flat,627360,97.73,97.73,1 B/R,0.34
JUMEIRAH LAKES TOWERS,Unit,Flat,1780800,188.65,188.65,2 B/R,0.51
DUBAI CREEK HARBOUR,Unit,Flat,1170000,126.65,126.65,2 B/R,0.51
Wadi Al Safa 3,Unit,Flat,1187200,156.22,156.22,2 B/R,0.52
BURJ KHALIFA,Unit,Flat,650000,85.68,85.68,1 B/R,0.18
MEYDAN ONE,Unit,Flat,453680,32.24,32.24,Studio,0.18
REMRAAM,Unit,Flat,600000,93.73,93.73,2 B/R,0.35
MIRA,Building,Villa,1895280,226.86,226.86,3 B/R,0.57
VILLANOVA,Building,Villa,885000,164.45,164.45,3 B/R,0.43
INTERNATIONAL CITY PH 2 & 3,Unit,Flat,560000,76.45,76.45,2 B/R,0.15
MIRA,Building,Villa,2360000,285.65,285.65,3 B/R,0.29
JUMEIRAH BEACH RESIDENCE,Unit,Flat,2500000,236.05,236.05,2 B/R,0
BURJ KHALIFA,Unit,Flat,3130000,219.78,219.78,3 B/R,0.06
VILLANOVA,Building,Villa,1350000,170.24,170.24,3 B/R,0.13
DUBAI PRODUCTION CITY,Unit,Flat,458221,57.72,57.72,1 B/R,0.58
MIRA,Building,Villa,1190000,243,243,3 B/R,0.3
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,560000,65.22,65.22,1 B/R,0.47
REMRAAM,Unit,Flat,850000,107.69,107.69,1 B/R,0.1
REMRAAM,Unit,Flat,1000000,93.4,93.4,2 B/R,0.42
REMRAAM,Unit,Flat,725000,70.44,70.44,1 B/R,0.25
REMRAAM,Unit,Flat,675000,61.79,61.79,1 B/R,0.08
REMRAAM,Unit,Flat,725000,70.44,70.44,1 B/R,0.33
REMRAAM,Unit,Flat,850000,107.69,107.69,1 B/R,0.49
BUSINESS BAY,Unit,Flat,1140000,133.87,133.87,2 B/R,0.3
DAMAC HILLS,Unit,Flat,1577154,174.18,174.18,2 B/R,0.46
ARABIAN RANCHES I,Building,Villa,2422000,255.27,255.27,3 B/R,0.44
JUMEIRAH BEACH RESIDENCE,Unit,Flat,11000000,394.49,394.49,5 B/R,0.03
BUSINESS BAY,Unit,Flat,1800000,132.57,132.57,2 B/R,0.36
JUMEIRAH BEACH RESIDENCE,Unit,Flat,2039997,180.42,180.42,2 B/R,0.29
ARABIAN RANCHES I,Building,Villa,2014900,254.99,254.99,3 B/R,0.29
BURJ KHALIFA,Unit,Flat,2230000,126.63,126.63,2 B/R,0.25
ARJAN,Unit,Flat,800000,79.48,79.48,2 B/R,0.01
ARJAN,Unit,Flat,800000,79.48,79.48,2 B/R,0.06
TOWN SQUARE,Building,Villa,1600000,187.92,187.92,3 B/R,0.22
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1840000,206.86,206.86,3 B/R,0.04
Marsa Dubai,Unit,Flat,10000000,379.06,379.06,3 B/R,0.1
Mirdif,Building,Villa,3250000,422.07,422.07,4 B/R,0.03
DUBAI MARINA,Unit,Flat,1110000,70.75,70.75,1 B/R,0.34
BURJ KHALIFA,Unit,Flat,1260000,101.01,101.01,1 B/R,0.53
Mirdif,Unit,Flat,352900,35.83,35.83,Studio,0.02
THE GREENS,Unit,Flat,422400,68.7,68.7,1 B/R,0.3
MOTOR CITY,Building,Villa,2310000,239.65,239.65,3 B/R,0.43
BURJ KHALIFA,Unit,Flat,4200000,271.56,271.56,3 B/R,0.2
BUSINESS BAY,Unit,Flat,1500000,130.93,130.93,2 B/R,0.25
BUSINESS BAY,Unit,Flat,1500000,130.58,130.58,2 B/R,0.01
BUSINESS BAY,Unit,Flat,2000000,178,178,2 B/R,0.29
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,754550,70.1,70.1,Studio,0.49
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,754660,70.11,70.11,Studio,0.16
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1000000,137.16,137.16,2 B/R,0.39
BUSINESS BAY,Unit,Flat,2000000,178,178,PENTHOUSE,0.04
BUSINESS BAY,Unit,Flat,515160,44.34,44.34,1 B/R,0.43
PALM JUMEIRAH,Unit,Flat,2700000,198.78,198.78,3 B/R,0.09
SOBHA HEARTLAND,Unit,Flat,1330000,79.04,79.04,2 B/R,0.2
BURJ KHALIFA,Unit,Flat,2904000,191.31,191.31,3 B/R,0.01
SUSTAINABLE CITY,Building,Villa,3590000,214.44,214.44,4 B/R,0.02
EMIRATE LIVING,Building,Villa,3150000,321.43,321.43,3 B/R,0.2
ARJAN,Unit,Flat,1200000,141.2,141.2,2 B/R,0.25
DUBAI MARINA,Unit,Flat,800000,138.5,138.5,2 B/R,0.42
LIVING LEGENDS,Building,Villa,1280000,182.7,182.7,3 B/R,0.05
MIRA,Building,Villa,1093399,283.34,283.34,3 B/R,0.53
PALM JUMEIRAH,Unit,Flat,1502400,106.41,106.41,1 B/R,0.05
DUBAI MARINA,Unit,Flat,1253000,132.87,132.87,2 B/R,0.17
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,360000,81.01,81.01,1 B/R,0.25
LA MER,Unit,Flat,1680000,73.33,73.33,1 B/R,0.38
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,360000,78.6,78.6,1 B/R,0.32
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,360000,78.71,78.71,1 B/R,0.27
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,456000,151.27,151.27,1 B/R,0.28
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,360000,78.79,78.79,1 B/R,0.6
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,360000,78.79,78.79,1 B/R,0.55
SERENA,Building,Villa,1277000,175.27,175.27,2 B/R,0.51
DUBAI PRODUCTION CITY,Unit,Flat,412500,80.68,80.68,1 B/R,0.57
DUBAI PRODUCTION CITY,Unit,Flat,357500,72.13,72.13,1 B/R,0.01
JUMEIRAH PARK,Building,Villa,2013521,187.68,187.68,4 B/R,0.43
DUBAI PRODUCTION CITY,Unit,Flat,385000,66.21,66.21,1 B/R,0.24
DUBAI PRODUCTION CITY,Unit,Flat,357500,66.26,66.26,1 B/R,0.51
DUBAI PRODUCTION CITY,Unit,Flat,440000,91.97,91.97,1 B/R,0.13
Me'Aisem First,Building,Villa,3500000,262,262,5 B/R,0.09
PALM JUMEIRAH,Unit,Flat,1685571,166.7,166.7,2 B/R,0.03
DUBAI MARINA,Unit,Flat,485551,66.37,66.37,1 B/R,0.48
JUMEIRAH VILLAGE CIRCLE,Building,Villa,1440000,135.2,135.2,3 B/R,0.34
DUBAI MARINA,Unit,Flat,2446341,214.98,214.98,3 B/R,0.16
BUSINESS BAY,Unit,Flat,812607,80.76,80.76,1 B/R,0.1
VILLANOVA,Building,Villa,1350000,175,175,3 B/R,0.31
MBR DISTRICT 1,Unit,Flat,634505,69.25,69.25,1 B/R,0.15
Jabal Ali First,Unit,Flat,979022,92.78,92.78,3 B/R,0.3
EMAAR SOUTH,Building,Villa,641932,141.05,141.05,3 B/R,0.2
EMAAR SOUTH,Building,Villa,1399200,148.8,148.8,3 B/R,0.29
DUBAI PRODUCTION CITY,Unit,Flat,1400000,167.62,167.62,3 B/R,0.44
Mirdif,Unit,Flat,1314400,141.83,141.83,2 B/R,0.59
DUBAI HILLS,Unit,Flat,550000,69.06,69.06,2 B/R,0.01
Al Yelayiss 2,Building,Villa,1039444,260.54,260.54,4 B/R,0.06
DUBAI SOUTH,Building,Villa,1440000,131.67,131.67,2 B/R,0.16
JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1280000,114.53,114.53,2 B/R,0.02
THE FIELD,Building,Villa,2850000,187.2,187.2,4 B/R,0.16
VILLANOVA,Building,Villa,2676240,340.21,340.21,4 B/R,0.09
DUBAI HILLS,Unit,Flat,1000640,64.09,64.09,1 B/R,0.45
DUBAI HILLS,Unit,Flat,783702,45.15,45.15,1 B/R,0.27
DUBAI HILLS,Unit,Flat,782082,44.8,44.8,1 B/R,0.02
DUBAI CREEK HARBOUR,Unit,Flat,1200000,99.09,99.09,2 B/R,0.05
DUBAI PRODUCTION CITY,Unit,Flat,448000,89.09,89.09,1 B/R,0.18
DUBAI CREEK HARBOUR,Unit,Flat,1166000,72.02,72.02,1 B/R,0.34
DUBAI HILLS,Unit,Flat,1056000,62.05,62.05,1 B/R,0.34
BUSINESS BAY,Unit,Flat,1579611,152.06,152.06,3 B/R,0.01
PALM JUMEIRAH,Unit,Flat,9975000,440.32,440.32,4 B/R,0.1
TOWN SQUARE,Unit,Flat,1200000,147.18,147.18,3 B/R,0.43
BUSINESS BAY,Unit,Flat,2786688,181.73,181.73,3 B/R,0.17
DUBAI HILLS,Unit,Flat,1194221.6,68.81,68.81,2 B/R,0.36
THE FIELD,Building,Villa,2973600,187.22,187.22,3 B/R,0.14
